Name,Item #,Price,Quantity,Link
FDS100 Photodiode,FDS100,$17.55,1,https://www.thorlabs.com/thorproduct.cfm?partnumber=FDS100
TSSOP-8 TO DIP-8 SMT Adapter,PA0032-ND,$3.19,1,https://www.digikey.com/en/products/detail/chip-quik-inc/PA0032/5014735
OPA381 Transimpedance Amplifier Op-Amp,OPA381AIDGKT,$2.64,1,https://www.digikey.com/en/products/detail/texas-instruments/OPA381AIDGKT/691744
ESP-32,,$15.99,1,https://www.amazon.com/dp/B0CR5Y2JVD/?coliid=I2IMLI6B1UGGDX&colid=4MVI37L79JZW&th=1
ADS 1115,,$8.99,1,https://www.amazon.com/MTDELE-Converter-multiplexer-Compatible-Raspberry/dp/B0D9VTYRDR
Breadboard Kit,,$4.78,1,https://www.aliexpress.us/item/3256804278540709.html
Male Pin Header Connector ,,$1.64,1,https://www.aliexpress.us/item/3256807049277042.html?gatewayAdapt=glo2usa4itemAdapt
Vishay Dale Through Hole Resistors 10k OHM 0.1%,CMF5510K000BHEB,$1.50,1,https://www.digikey.com/en/products/detail/vishay-dale/CMF5510K000BHEB/3622096
Vishay Dale Through Hole Resistors 100k OHM 0.1%,CMF55100K00BHEB,$1.34,1,https://www.digikey.com/en/products/detail/vishay-dale/CMF55100K00BHEB/3622080
Vishay Dale Through Hole Resistors 1M OHM 0.1%,CMF551M0000BHEB,$1.31,1,https://www.digikey.com/en/products/detail/vishay-dale/CMF551M0000BHEB/3622044
1pF Ceramic Capacitator,C315C109D1G5TA,$0.54,4,https://www.digikey.com/en/products/detail/kemet/C315C109D1G5TA/12700871
2.2pF Ceramic Capacitator,C316C229D2G5TA,$0.54,4,https://www.digikey.com/en/products/detail/kemet/C316C229D2G5TA/12701114
4.7pF Ceramic Capacitator,FA28C0G1H4R7CNU06,$0.25,4,https://www.digikey.com/en/products/detail/tdk-corporation/FA28C0G1H4R7CNU06/5866293
10pF Ceramic Capacitator,561R10TCCQ10,$1.37,4,https://www.digikey.com/en/products/detail/vishay-cera-mite/561R10TCCQ10/2825285
Kemet 0.1 µF Ceramic Capacitator,C320C104K5R5TA,$0.18,10,https://www.digikey.com/en/products/detail/kemet/C320C104K5R5TA/818040
Würth Elektronik10 µF Electrolytic Capacitator,#860020472003,$0.10,6,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/860020472003/5727057
,,Total Price:,,
,,72.08,,
